field,row_count,non_null_count,null_count,null_pct,zero_count,negative_count,min,max,mean,median,std,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr,lower_bound,upper_bound,outlier_count,outlier_pct,population
frequency,7867,7861,6,0.07626795474768018,1632,0,0.0,91.0,38.46266378323369,29.0,35.37415117679037,0.0,0.0,0.0,2.0,29.0,77.0,90.0,91.0,91.0,75.0,-110.5,189.5,0,0.0,No Action yet
breadth,7867,7861,6,0.07626795474768018,2466,0,0.0,21.0,4.183691642284697,3.0,4.241272272818709,0.0,0.0,0.0,0.0,3.0,7.0,10.0,12.0,16.0,7.0,-10.5,17.5,22,0.27986261289912223,No Action yet
tenure,7867,7861,6,0.07626795474768018,0,0,208.0,27867.0,1382.9492430988423,1354.0,886.3568215498133,324.0,337.0,504.0,997.0,1354.0,1635.0,2069.0,2460.0,3405.7999999999993,638.0,40.0,2592.0,281,3.5746088283933344,No Action yet
tt_cost,7867,7861,6,0.07626795474768018,32,0,0.0,9279.711,571.2466904973923,502.83000000000004,439.16272823095557,107.89200000000001,112.88700000000001,166.27200000000002,374.2503333333333,502.83000000000004,704.961,949.383,1279.1466666666665,1764.4506666666591,330.7106666666667,-121.8156666666668,1201.027,458,5.826230759445363,No Action yet
frequency,1498,1496,2,0.13351134846461948,181,0,0.0,91.0,45.6524064171123,45.0,34.54818022337919,0.0,0.0,0.0,9.0,45.0,82.0,90.0,91.0,91.0,73.0,-100.5,191.5,0,0.0,Called once — primary
breadth,1498,1496,2,0.13351134846461948,290,0,0.0,20.0,5.021390374331551,4.0,4.203622860803185,0.0,0.0,0.0,1.0,4.0,8.0,11.0,13.0,16.0,7.0,-9.5,18.5,1,0.06684491978609625,Called once — primary
tenure,1498,1496,2,0.13351134846461948,0,0,323.0,11789.0,1495.0401069518716,1450.0,796.5334566446259,325.0,358.75,675.0,1144.0,1450.0,1727.0,2321.0,2636.25,3625.5999999999894,583.0,269.5,2601.5,85,5.681818181818182,Called once — primary
tt_cost,1498,1496,2,0.13351134846461948,0,0,25.914,3925.7369999999996,504.4765900178253,462.87000000000006,337.2272752942127,108.22500000000001,119.76,169.16400000000002,289.96133333333336,462.87000000000006,620.5896666666666,825.1018333333334,999.875,1808.0521666666664,330.6283333333333,-205.98116666666652,1116.5321666666664,59,3.943850267379679,Called once — primary
frequency,569,568,1,0.17574692442882248,28,0,0.0,91.0,56.04577464788732,65.5,32.50610605668614,0.0,1.0,4.700000000000003,25.0,65.5,88.0,91.0,91.0,91.0,63.0,-69.5,182.5,0,0.0,Called once and Saved
breadth,569,568,1,0.17574692442882248,64,0,0.0,18.0,5.684859154929577,5.0,4.088653760650802,0.0,0.0,0.0,2.0,5.0,9.0,11.0,13.0,16.0,7.0,-8.5,19.5,0,0.0,Called once and Saved
tenure,569,568,1,0.17574692442882248,0,0,323.0,10500.0,1527.4348591549297,1454.0,764.8555898668699,324.67,346.0,724.0,1147.75,1454.0,1777.0,2392.6,2663.3499999999995,3587.2000000000016,629.25,203.875,2720.875,25,4.401408450704225,Called once and Saved
tt_cost,569,568,1,0.17574692442882248,0,0,36.455999999999996,3496.5,467.65376467136156,428.11783333333335,307.3710642254186,107.89200000000001,114.66855000000001,165.73453333333333,270.31275000000005,428.11783333333335,572.427,780.4188,941.1827999999996,1683.8681200000008,302.11424999999997,-182.8586249999999,1025.598375,20,3.5211267605633805,Called once and Saved
frequency,929,928,1,0.1076426264800861,153,0,0.0,91.0,39.29094827586207,33.0,34.233279353299366,0.0,0.0,0.0,4.0,33.0,76.0,89.0,91.0,91.0,72.0,-104.0,184.0,0,0.0,Called once and Stopped
breadth,929,928,1,0.1076426264800861,226,0,0.0,20.0,4.615301724137931,4.0,4.2234848001483805,0.0,0.0,0.0,1.0,4.0,8.0,11.0,13.0,15.0,7.0,-9.5,18.5,1,0.10775862068965517,Called once and Stopped
tenure,929,928,1,0.1076426264800861,0,0,324.0,11789.0,1475.2122844827586,1421.0,815.0868261570117,329.54,388.05,510.0,1142.75,1421.0,1695.25,2248.900000000001,2583.7999999999997,3782.5500000000043,552.5,314.0,2524.0,52,5.603448275862069,Called once and Stopped
tt_cost,929,928,1,0.1076426264800861,0,0,25.914,3925.7369999999996,527.0146986350575,483.6825,352.5293769457078,109.73682,154.91151666666667,169.49699999999999,310.23725,483.6825,639.072,840.0058000000001,1052.1198333333332,1828.2176733333336,328.83475,-183.01487499999996,1132.324125,40,4.310344827586207,Called once and Stopped
