field,row_count,non_null_count,null_count,null_pct,zero_count,negative_count,min,max,mean,median,std,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr,lower_bound,upper_bound,outlier_count,outlier_pct,repeated_call_group
frequency,22,22,0,0.0,2,0,0.0,91.0,49.81818181818182,45.0,32.93953531871673,0.0,0.30000000000000027,6.4,25.0,45.0,78.75,88.9,89.95,90.78999999999999,53.75,-55.625,159.375,0,0.0,Contacted both ways
breadth,22,22,0,0.0,2,0,0.0,11.0,6.045454545454546,6.0,3.27293770367253,0.0,0.10000000000000009,2.1,4.0,6.0,9.0,9.900000000000002,10.95,11.0,5.0,-3.5,16.5,0,0.0,Contacted both ways
tenure,22,22,0,0.0,0,0,340.0,9496.0,2071.818181818182,1527.5,1841.0251191055188,458.02,905.0,978.0,1291.5,1527.5,2059.75,2969.900000000001,4023.499999999999,8358.009999999995,768.25,139.125,3212.125,2,9.090909090909092,Contacted both ways
tt_cost,22,22,0,0.0,0,0,113.22000000000001,2716.641,668.4512727272727,570.2113333333334,564.8609188216874,120.95066000000001,153.90823333333333,228.95783333333335,333.66600000000005,570.2113333333334,716.0897500000001,991.9525000000002,1550.5928166666665,2477.8416699999993,382.42375000000004,-239.96962500000006,1289.7253750000002,2,9.090909090909092,Contacted both ways
frequency,1739,1737,2,0.11500862564692352,229,0,0.0,91.0,44.55613126079447,43.0,34.58542134131132,0.0,0.0,0.0,8.0,43.0,81.0,90.0,91.0,91.0,73.0,-101.5,190.5,0,0.0,Other
breadth,1739,1737,2,0.11500862564692352,367,0,0.0,20.0,4.944732297063903,4.0,4.25001316753979,0.0,0.0,0.0,1.0,4.0,8.0,11.0,13.0,15.639999999999873,7.0,-9.5,18.5,2,0.11514104778353484,Other
tenure,1739,1737,2,0.11500862564692352,0,0,323.0,11789.0,1489.328727691422,1450.0,784.8016374816184,325.0,352.20000000000005,606.8000000000013,1144.0,1450.0,1733.0,2301.0,2629.2,3597.6799999999953,589.0,260.5,2616.5,89,5.1237766263673,Other
tt_cost,1739,1737,2,0.11500862564692352,0,0,25.914,4910.876666666666,509.9928587603148,465.068,349.36563677974397,108.01188,115.884,169.0464,292.41400000000004,465.068,623.709,825.4537333333334,1013.0927999999977,1782.111479999991,331.2949999999999,-204.52849999999984,1120.6515,71,4.087507196315487,Other
frequency,17,16,1,5.88235294117647,0,0,27.0,91.0,70.5,85.0,23.849528297222147,27.45,29.25,37.5,51.25,85.0,90.25,91.0,91.0,91.0,39.0,-7.25,148.75,0,0.0,Pay less than start rate
breadth,17,16,1,5.88235294117647,0,0,2.0,14.0,6.3125,5.0,3.2602402774437755,2.15,2.75,3.0,4.0,5.0,9.0,10.0,11.0,13.399999999999999,5.0,-3.5,16.5,0,0.0,Pay less than start rate
tenure,17,16,1,5.88235294117647,0,0,347.0,3642.0,1558.375,1311.5,925.7906080750657,348.5,354.5,600.0,1044.0,1311.5,1725.5,2975.5,3207.75,3555.1499999999996,681.5,21.75,2747.75,3,18.75,Pay less than start rate
tt_cost,17,16,1,5.88235294117647,0,0,50.988,1326.279,429.6783541666666,403.78999999999996,354.8725444081134,60.67245,99.41025,133.1245,177.76574999999997,403.78999999999996,450.2621666666667,917.8741666666666,1163.6535,1293.7539,272.49641666666673,-230.97887500000013,859.0067916666668,2,12.5,Pay less than start rate
